Index,Word,Meaning (Full),Meaning (Short),PronunciationIPA,PronunciationURL
1,abase,"Degrade or humble; to lower in rank, status, or esteem","Degrade or humble; to lower in rank, status, or esteem",/əˈbeɪs/,https://dictionary.cambridge.org/dictionary/english/abase
2,abate,"Reduce, diminish","Reduce, diminish",/əˈbeɪt/,https://dictionary.cambridge.org/dictionary/english/abate
3,abdicate,Formally give up the throne (or some other power or responsibility),Formally give up the throne (or some other power or responsibility),/ˈæb.dɪˌkeɪt/,https://dictionary.cambridge.org/dictionary/english/abdicate
4,aberrant,"Abnormal, deviant","Abnormal, deviant",/əˈbɛɹ.n̩t/,https://dictionary.cambridge.org/dictionary/english/aberrant
5,abeyance,"Temporary suspension, inactivity","Temporary suspension, inactivity",/əˈbeɪ.əns/,https://dictionary.cambridge.org/dictionary/english/abeyance
6,abhor,"Detest, regard with disgust","Detest, regard with disgust",/əbˈhɔː(ɹ)/,https://dictionary.cambridge.org/dictionary/english/abhor
7,abjure,"Give up, renounce; repudiate, recant, or shun (especially formally or under oath)","Give up, renounce; repudiate, recant, or shun (especially formally or under oath)",/æbˈdʒʊɹ/,https://dictionary.cambridge.org/dictionary/english/abjure
8,abrasive,"Rough, suitable for grinding or polishing (such as sandpaper); causing irritation or annoyance","Rough, suitable for grinding or polishing (such as sandpaper); causing irritation or…",/əˈbɹeɪ.sɪv/,https://dictionary.cambridge.org/dictionary/english/abrasive
9,abreast,"Side-by-side. The more common ""abreast of"" means keeping up with, staying aware of, or remaining equal in progress with.","Side-by-side. The more common ""abreast of"" means keeping up with, staying aware…",/əˈbɹɛst/,https://dictionary.cambridge.org/dictionary/english/abreast
10,abridge,Reduce or lessen; shorten by omitting parts throughout while retaining the main idea,Reduce or lessen; shorten by omitting parts throughout while retaining the main…,/əˈbɹɪd͡ʒ/,https://dictionary.cambridge.org/dictionary/english/abridge
11,abscission,"Cutting off; sudden termination; the separation of leaves, petals, or other parts from a plant or animal","Cutting off; sudden termination; the separation of leaves, petals, or other parts…",/æbˈsɪ.ʃn̩/,https://dictionary.cambridge.org/dictionary/english/abscission
12,abscond,Depart suddenly and secretively,Depart suddenly and secretively,/əbˈskɒnd/,https://dictionary.cambridge.org/dictionary/english/abscond
13,abstain,"Hold back, refrain (especially from something bad or unhealthy); decline to vote","Hold back, refrain (especially from something bad or unhealthy); decline to vote",/əbˈsteɪn/,https://dictionary.cambridge.org/dictionary/english/abstain
14,abyss,A deep and vast space or cavity; anything profound or infinite,A deep and vast space or cavity; anything profound or infinite,/əˈbɪs/,https://dictionary.cambridge.org/dictionary/english/abyss
15,accede,"Agree, give consent; assume power (usually as ""accede to"")","Agree, give consent; assume power (usually as ""accede to"")",/əkˈsiːd/,https://dictionary.cambridge.org/dictionary/english/accede
16,accretion,Gradual increase; an added part or addition,Gradual increase; an added part or addition,/ə.ˈkɹi.ʃən/,https://dictionary.cambridge.org/dictionary/english/accretion
17,acerbic,Sour; harsh or severe,Sour; harsh or severe,/əˈsɜː(ɹ)bɪk/,https://dictionary.cambridge.org/dictionary/english/acerbic
18,acidulous,Slightly acid or sour; sharp or caustic,Slightly acid or sour; sharp or caustic,/əˈsɪdjʊləs/,https://dictionary.cambridge.org/dictionary/english/acidulous
19,acme,"Summit, peak, highest point","Summit, peak, highest point",/ˈæk.mi/,https://dictionary.cambridge.org/dictionary/english/acme
20,activism,"The practice of pursuing political or other goals through vigorous action, often including protests and demonstrations","The practice of pursuing political or other goals through vigorous action, often…",/ˈæk.tɪ.vɪ.zəm̩/,https://dictionary.cambridge.org/dictionary/english/activism
21,acumen,"Keen, quick, accurate insight or judgment","Keen, quick, accurate insight or judgment",/əˈkjuːmən/,https://dictionary.cambridge.org/dictionary/english/acumen
22,adhere,"Stick (to), such as with glue, or to a plan or belief","Stick (to), such as with glue, or to a plan or belief",/ædˈhiɹ/,https://dictionary.cambridge.org/dictionary/english/adhere
23,admonish,"Mildly scold; caution, advise, or remind to do something","Mildly scold; caution, advise, or remind to do something",/ədˈmɒn.ɪʃ/,https://dictionary.cambridge.org/dictionary/english/admonish
24,adulterate,Make impure by adding inappropriate or inferior ingredients,Make impure by adding inappropriate or inferior ingredients,,https://dictionary.cambridge.org/dictionary/english/adulterate
25,adumbrate,Give a rough outline of; foreshadow; reveal only partially; obscure,Give a rough outline of; foreshadow; reveal only partially; obscure,/ˈædʌmˌbɹeɪt/,https://dictionary.cambridge.org/dictionary/english/adumbrate
26,adverse,"Opposing, harmful","Opposing, harmful",/ədˈvɜ(ɹ)s/,https://dictionary.cambridge.org/dictionary/english/adverse
27,advocate,Speak or argue in favor of (verb); a person who pleads for a cause or on behalf of another person (noun),Speak or argue in favor of (verb); a person who pleads for…,/ˈæd.və.keɪt/,https://dictionary.cambridge.org/dictionary/english/advocate
28,aerie,"Dwelling or fortress built on a high place; the nest of a bird of prey, such as an eagle or hawk, built on a mountain or cliff",Dwelling or fortress built on a high place; the nest of a…,,https://dictionary.cambridge.org/dictionary/english/aerie
29,aesthetic,"Concerning the appreciation of beauty or good taste, pertaining to the science of what is beautiful (adj); a sense of beauty and taste of a particular time and place (noun)","Concerning the appreciation of beauty or good taste, pertaining to the science…",/iːs.ˈθe.tɪk/,https://dictionary.cambridge.org/dictionary/english/aesthetic
30,affable,"Warm and friendly, pleasant, approachable","Warm and friendly, pleasant, approachable",/ˈæf.ə.bəl/,https://dictionary.cambridge.org/dictionary/english/affable
31,affectation,Fake behavior (such as in speech or dress) adopted to give a certain impression,Fake behavior (such as in speech or dress) adopted to give a…,/ˌæf.ɛkˈteɪ.ʃən/,https://dictionary.cambridge.org/dictionary/english/affectation
32,aggrandize,Make greater; exaggerate,Make greater; exaggerate,/əˈɡɹændaɪ̯z/,https://dictionary.cambridge.org/dictionary/english/aggrandize
33,aggregate,"Gather together, amount to (verb); constituting a whole made up of constituent parts (adj)","Gather together, amount to (verb); constituting a whole made up of constituent…",,https://dictionary.cambridge.org/dictionary/english/aggregate
34,alacrity,Cheerful or speedy willingness,Cheerful or speedy willingness,[əˈlækɹɨti],https://dictionary.cambridge.org/dictionary/english/alacrity
35,albeit,"Although, even though","Although, even though",/ɔːlˈbiː.ɪt/,https://dictionary.cambridge.org/dictionary/english/albeit
36,alienate,"Cause to become unfriendly, hostile, or distant","Cause to become unfriendly, hostile, or distant",,https://dictionary.cambridge.org/dictionary/english/alienate
37,alleviate,"Lessen, make easier to endure","Lessen, make easier to endure",,https://dictionary.cambridge.org/dictionary/english/alleviate
38,aloof,Distant physically or emotionally; reserved; indifferent,Distant physically or emotionally; reserved; indifferent,,https://dictionary.cambridge.org/dictionary/english/aloof
39,amalgamate,"Blend, merge, or unite","Blend, merge, or unite",,https://dictionary.cambridge.org/dictionary/english/amalgamate
40,ambiguous,"Not clear, hard to understand, open to having several meanings or interpretations","Not clear, hard to understand, open to having several meanings or interpretations",,https://dictionary.cambridge.org/dictionary/english/ambiguous
41,ambivalent,"Uncertain; unable to decide, or wanting to do two contradictory things at once","Uncertain; unable to decide, or wanting to do two contradictory things at…",,https://dictionary.cambridge.org/dictionary/english/ambivalent
42,ameliorate,Improve; make better or more bearable,Improve; make better or more bearable,/əˈmiːli.əɹeɪt/,https://dictionary.cambridge.org/dictionary/english/ameliorate
43,amortize,"Gradually pay off a debt, or gradually write off an asset","Gradually pay off a debt, or gradually write off an asset",,https://dictionary.cambridge.org/dictionary/english/amortize
44,anachronism,"Something that is not in its correct historical time; a mistake in chronology, such as by assigning a person or event to the wrong time period",Something that is not in its correct historical time; a mistake in…,,https://dictionary.cambridge.org/dictionary/english/anachronism
45,analgesia,Pain relief; inability to feel pain,Pain relief; inability to feel pain,,https://dictionary.cambridge.org/dictionary/english/analgesia
46,analogous,"Comparable, corresponding in some particular way (making a good analogy)","Comparable, corresponding in some particular way (making a good analogy)",,https://dictionary.cambridge.org/dictionary/english/analogous
47,anarchy,"Absence of law or government; chaos, disorder","Absence of law or government; chaos, disorder",,https://dictionary.cambridge.org/dictionary/english/anarchy
48,annul,"Make void or null, cancel, abolish (usually of laws or other established rules)","Make void or null, cancel, abolish (usually of laws or other established…",,https://dictionary.cambridge.org/dictionary/english/annul
49,anodyne,"Medicine that relieves pain (noun); soothing, relieving pain (adj)","Medicine that relieves pain (noun); soothing, relieving pain (adj)",/ˈæn.ə.daɪn/,https://dictionary.cambridge.org/dictionary/english/anodyne
50,anoint,"Rub or sprinkle oil on; make sacred, such as by a ceremony that includes applying oil to someone","Rub or sprinkle oil on; make sacred, such as by a ceremony…",,https://dictionary.cambridge.org/dictionary/english/anoint
51,anomaly,Deviation from what is common; inconsistency,Deviation from what is common; inconsistency,,https://dictionary.cambridge.org/dictionary/english/anomaly
52,antagonize,Make hostile or unfriendly,Make hostile or unfriendly,,https://dictionary.cambridge.org/dictionary/english/antagonize
53,antedate,"Be older than, precede in time; assign to an earlier date","Be older than, precede in time; assign to an earlier date",/ˈæntiˌdeɪt/,https://dictionary.cambridge.org/dictionary/english/antedate
54,antithetical,"Directly opposed, opposite; involving antithesis (the rhetorical act of placing two phrases opposite one another for contrast, as in love me or hate me)","Directly opposed, opposite; involving antithesis (the rhetorical act of placing two phrases…",,https://dictionary.cambridge.org/dictionary/english/antithetical
55,apathy,Not caring; absence of feeling; lack of interest or concern,Not caring; absence of feeling; lack of interest or concern,/ˈæ.pə.θi/,https://dictionary.cambridge.org/dictionary/english/apathy
56,apocryphal,Of questionable authenticity; false,Of questionable authenticity; false,/əˈpɒkɹəfəl/,https://dictionary.cambridge.org/dictionary/english/apocryphal
57,apostate,"Person who deserts a party, cause, religion, etc.","Person who deserts a party, cause, religion, etc.",/əˈpɒs.teɪt/,https://dictionary.cambridge.org/dictionary/english/apostate
58,apostle,"Pioneer of a reform movement (originally, an early follower of Jesus)","Pioneer of a reform movement (originally, an early follower of Jesus)",/əˈpɒs(ə)l/,https://dictionary.cambridge.org/dictionary/english/apostle
59,apposite,"Highly appropriate, suitable, or relevant","Highly appropriate, suitable, or relevant",/ˈa.pə.zɪt/,https://dictionary.cambridge.org/dictionary/english/apposite
60,apprise,"Inform, give notice to","Inform, give notice to",/əˈpɹaɪ̯z/,https://dictionary.cambridge.org/dictionary/english/apprise
61,approbation,"Praise or approval, especially formal approval","Praise or approval, especially formal approval",/ˌæp.ɹəʊˈbeɪ.ʃən/,https://dictionary.cambridge.org/dictionary/english/approbation
62,appropriate,Set aside or authorize (such as money) for a particular purpose; take for one's own use,Set aside or authorize (such as money) for a particular purpose; take…,,https://dictionary.cambridge.org/dictionary/english/appropriate
63,arbiter,"Judge, umpire, person empowered to decide matters at hand","Judge, umpire, person empowered to decide matters at hand",/ˈɑːbɪtə(ɹ)/,https://dictionary.cambridge.org/dictionary/english/arbiter
64,arcane,"Known or understood by only a few; obscure, secret","Known or understood by only a few; obscure, secret",/ɑɹˈkeɪn/,https://dictionary.cambridge.org/dictionary/english/arcane
65,archaic,"Characteristic of an earlier period, ancient, primitive","Characteristic of an earlier period, ancient, primitive",/ɑː.ˈkeɪ.ɪk/,https://dictionary.cambridge.org/dictionary/english/archaic
66,ardent,"Very passionate, devoted, or enthusiastic","Very passionate, devoted, or enthusiastic",/ˈɑːdənt/,https://dictionary.cambridge.org/dictionary/english/ardent
67,arduous,"Very difficult, strenuous; severe, hard to endure","Very difficult, strenuous; severe, hard to endure",/ˈɑːdjuːəs/,https://dictionary.cambridge.org/dictionary/english/arduous
68,arrogate,Claim or take presumptuously or without the right to do so,Claim or take presumptuously or without the right to do so,,https://dictionary.cambridge.org/dictionary/english/arrogate
69,articulate,"Using language in a clear, fluent way (adj); speak distinctly or give clarity to an idea (verb)","Using language in a clear, fluent way (adj); speak distinctly or give…",/ɑː(ɹ)ˈtɪk.jʊ.lət/,https://dictionary.cambridge.org/dictionary/english/articulate
70,artifact,"Any object made by humans, especially those from an earlier time, such as those excavated by archaeologists","Any object made by humans, especially those from an earlier time, such…",/ˈɑːtɪfækt/,https://dictionary.cambridge.org/dictionary/english/artifact
71,artless,"Free of deceit or craftiness, natural, genuine; lacking skill or knowledge, crude, uncultured","Free of deceit or craftiness, natural, genuine; lacking skill or knowledge, crude,…",/ˈɑɹt.lɪs/,https://dictionary.cambridge.org/dictionary/english/artless
72,ascertain,Find out with certainty,Find out with certainty,/ˌæsəˈteɪn/,https://dictionary.cambridge.org/dictionary/english/ascertain
73,ascetic,"abstinent or austere in lifestyle (adj); a person who leads an austere and simple life without material pleasures, esp. someone who does this for religious reasons",abstinent or austere in lifestyle (adj); a person who leads an austere…,/əˈsɛ.tɪk/,https://dictionary.cambridge.org/dictionary/english/ascetic
74,ascribe,Assign or credit to a certain cause or source,Assign or credit to a certain cause or source,/əˈskɹaɪb/,https://dictionary.cambridge.org/dictionary/english/ascribe
75,aseptic,Free from germs,Free from germs,/əˈsɛptɪk/,https://dictionary.cambridge.org/dictionary/english/aseptic
76,asperity,"Rigor, severity; harshness or sharpness of tone; roughness of surface","Rigor, severity; harshness or sharpness of tone; roughness of surface",/əˈspɛɹɪti/,https://dictionary.cambridge.org/dictionary/english/asperity
77,aspersions,"Damaging remarks, defamation, slander","Damaging remarks, defamation, slander",,https://dictionary.cambridge.org/dictionary/english/aspersions
78,assail,"Attack violently, assault","Attack violently, assault",/əˈseɪl/,https://dictionary.cambridge.org/dictionary/english/assail
79,assiduous,"Persevering, diligent, constant","Persevering, diligent, constant",/əˈsɪdjuːəs/,https://dictionary.cambridge.org/dictionary/english/assiduous
80,assuage,"Make milder, relieve; soothe, pacify, or calm","Make milder, relieve; soothe, pacify, or calm",/əˈsweɪdʒ/,https://dictionary.cambridge.org/dictionary/english/assuage
81,attenuate,Weaken or thin out,Weaken or thin out,/əˈtɛn.juː.eɪt/,https://dictionary.cambridge.org/dictionary/english/attenuate
82,attuned,In harmony; in sympathetic relationship,In harmony; in sympathetic relationship,,https://dictionary.cambridge.org/dictionary/english/attuned
83,audacious,"Very bold or brave, often in a rude or reckless way; extremely original","Very bold or brave, often in a rude or reckless way; extremely…",/ɔːˈdeɪʃəs/,https://dictionary.cambridge.org/dictionary/english/audacious
84,augment,Make larger,Make larger,,https://dictionary.cambridge.org/dictionary/english/augment
85,augury,"Telling the future, such as through supernatural means","Telling the future, such as through supernatural means",,https://dictionary.cambridge.org/dictionary/english/augury
86,august,"Venerable, majestic; inspiring admiration","Venerable, majestic; inspiring admiration",,https://dictionary.cambridge.org/dictionary/english/august
87,austere,"Severe in manner or appearance; very self disciplined, ascetic; without luxury or ease; sober or serious","Severe in manner or appearance; very self disciplined, ascetic; without luxury or…",/ɒstɪə(ɹ)/,https://dictionary.cambridge.org/dictionary/english/austere
88,autonomous,"Self-governing, independent","Self-governing, independent",,https://dictionary.cambridge.org/dictionary/english/autonomous
89,avarice,Insatiable greed; a miserly desire to hoard wealth,Insatiable greed; a miserly desire to hoard wealth,,https://dictionary.cambridge.org/dictionary/english/avarice
90,aver,Declare or affirm with confidence,Declare or affirm with confidence,,https://dictionary.cambridge.org/dictionary/english/aver
91,avid,"Enthusiastic, dedicated, passionate; excessively desirous","Enthusiastic, dedicated, passionate; excessively desirous",,https://dictionary.cambridge.org/dictionary/english/avid
92,axiom,Self-evident truth requiring no proof; universally or generally accepted principle,Self-evident truth requiring no proof; universally or generally accepted principle,,https://dictionary.cambridge.org/dictionary/english/axiom
93,balk,Refuse to proceed or to do something,Refuse to proceed or to do something,/bɔːk/,https://dictionary.cambridge.org/dictionary/english/balk
94,balloon,Swell or puff out; increase rapidly,Swell or puff out; increase rapidly,,https://dictionary.cambridge.org/dictionary/english/balloon
95,banal,Lacking freshness and originality; cliché,Lacking freshness and originality; cliché,,https://dictionary.cambridge.org/dictionary/english/banal
96,bane,Something that ruins or spoils,Something that ruins or spoils,/beɪn/,https://dictionary.cambridge.org/dictionary/english/bane
97,base,"Morally low, mean, dishonorable; of little or no value; crude and unrefined; counterfeit","Morally low, mean, dishonorable; of little or no value; crude and unrefined;…",,https://dictionary.cambridge.org/dictionary/english/base
98,baying,"Howling in a deep way, like a dog or wolf","Howling in a deep way, like a dog or wolf",,https://dictionary.cambridge.org/dictionary/english/baying
99,belie,Contradict or misrepresent,Contradict or misrepresent,/bɪˈlʌɪ/,https://dictionary.cambridge.org/dictionary/english/belie
100,beneficent,Doing good,Doing good,/bəˈnɛf.ə.sənt/,https://dictionary.cambridge.org/dictionary/english/beneficent
